,inFocus5s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_astig_oblique_nm,zern_astig_vertical_nm,zern_coma_vertical_nm,zern_coma_horizontal_nm,zern_trefoil_vertical_nm,zern_trefoil_oblique_nm,zern_spherical_nm,position0,position1,position2,position3,position4,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-07-08 00:09:38.325000+00:00,AT_O_20210707_000104,AT_O_20210707_000102,AT_O_20210707_000103,5,1625702978.3248568,1625702845.9034111,1625702896.9252162,4.459042742897188,80.07017975885823,-27.65411992373907,-3.56266259996,2.32653663655,-1.23719511375,0.350000746207,0.220000641423,5.1473522498e-07,116133.38271005666,-15.4980354934134,-64.50100105402166,-164.96831154284925,-17.00634398806576,5.254969804037726,49.717418122143805,27.60627908023651,19.058669317942844,-1.169,0.398,-21.685,0.099,8.685,-0.0,-0.0,0.0,0.0,0.0
2021-07-08 00:13:27.287000+00:00,AT_O_20210707_000108,AT_O_20210707_000106,AT_O_20210707_000107,5,1625703207.285886,1625703076.8975775,1625703127.9380703,0.6436957208957299,74.70474376939191,-24.74789722967869,-3.59248763161,2.28089244286,-1.22646290549,0.349999978592,0.220000284437,3.49557374875e-07,114015.901629519,-5.926311834446606,-52.66709798022725,-180.1525539624999,-14.432960577802849,-15.917715505146514,33.39964238549507,22.4339916207984,20.4066431258626,-1.169,0.398,-21.684,0.099,8.682,0.8230690529437729,0.6629276596459289,-0.0006677379869910911,0.0,0.0
2021-07-08 00:20:11.279000+00:00,AT_O_20210707_000114,AT_O_20210707_000112,AT_O_20210707_000113,5,1625703611.2782867,1625703477.1083908,1625703527.310516,1.9397139427030696,68.9920777224293,-21.568197696552755,-3.64948342276,2.29108000872,-1.22429200891,0.349999633036,0.220000718096,3.09168301991e-07,110365.47052504592,1.6650141955571582,-96.04930131964122,-152.7994007513096,-2.344079184108987,-9.387934912823944,38.67449878487282,16.122950230091803,10.70086667694226,-1.142,0.403,-21.685,0.099,8.681,1.063281142888048,0.49485133244658236,-0.0013341330349028726,0.02658980933132975,0.004924038765061044
2021-07-08 00:23:58.607000+00:00,AT_O_20210707_000118,AT_O_20210707_000116,AT_O_20210707_000117,5,1625703838.6066728,1625703706.376841,1625703756.5139832,0.2716727398280636,65.32677517373901,-23.65024674783199,-3.62959174646,2.33201929911,-1.21626971677,0.349999654857,0.21999855698,-8.51177844202e-07,107768.96195288084,-4.587531356885996,-113.15263549588512,-113.81976640348796,6.522943690186385,5.638358074238622,35.01178131761757,14.67013543711388,13.850963975620967,-1.124,0.411,-21.684,0.099,8.682,0.8230690529437729,0.6629276596459289,-0.0006677379869910911,0.04431634888554929,0.012802500789158662
2021-07-08 00:29:22.188000+00:00,AT_O_20210707_000124,AT_O_20210707_000122,AT_O_20210707_000123,5,1625704162.1873536,1625704030.83381,1625704080.9792502,0.9301807753753384,59.50836954852275,-19.752740281323494,-3.70463189437,2.2086964873,-1.19913537025,0.349999926814,0.220000317342,-4.96297478704e-07,102502.36518774416,24.492266681002555,-93.31850818522906,-116.93364609626629,25.945230754756317,-6.719333742544212,48.3997230486989,31.500107078155636,23.621498026438356,-1.102,0.43,-21.684,0.098,8.682,0.5828569629976496,0.831003986845226,-0.001001342939078942,0.06598211945181788,0.03151384809639063
2021-07-08 00:32:49.928000+00:00,AT_O_20210707_000128,AT_O_20210707_000126,AT_O_20210707_000127,5,1625704369.9276004,1625704237.034454,1625704287.7473,0.1851318391321304,53.26435965316355,-21.68943467476193,-3.60273626149,2.38664024154,-1.21454994373,0.350000986808,0.219999740515,2.04121934079e-07,95825.5492919922,-22.248048359567296,-112.21999193424932,-76.51513368977169,-26.7995580332847,32.66875927168035,53.62173545530202,-11.988417315038074,17.623121579145046,-1.077,0.45,-21.683,0.1,8.719,-8.746461227883236,-3.7907343319508384,0.012339459327130839,0.09060231327712322,0.051210003156634806
2021-07-08 00:36:27.981000+00:00,AT_O_20210707_000132,AT_O_20210707_000130,AT_O_20210707_000131,5,1625704587.980575,1625704453.9232948,1625704504.457483,0.2137750352538241,49.45702133475896,-20.18173778848837,-3.47651034062,2.25961153134,-1.226842233345,0.35000019651,0.220000186282,-1.10109614412e-06,90941.65369011374,50.03715499926243,-138.51617078640754,-29.621245317667583,-22.753250458436835,17.935507976929863,63.52404341453733,-7.006201046261005,24.49061525612817,-1.064,0.459,-21.678,0.125,8.791,-21.752178497036365,-15.441020666057614,0.04635828670350348,0.10340481406628182,0.06007327293374469
2021-07-08 00:47:37.112000+00:00,AT_O_20210707_000143,AT_O_20210707_000141,AT_O_20210707_000142,5,1625705257.111169,1625705125.4178483,1625705175.77392,1.6192726813300395,43.03581834575685,-23.629645916323643,-2.85633356583,2.02450434628,-1.3533881712,0.34999954157,0.219999905549,5.00756414976e-07,81925.26874316408,2.65460003268128,-119.11212260997804,-25.95034948510424,-7.452794695230922,-23.039831915024408,46.65991268466607,-0.325402310536028,23.143315723195084,-1.046,0.469,-21.655,0.318,8.944,-15.472760401487804,-60.096662923189754,0.16943045219276703,0.12113135362050158,0.06992135046386672
2021-07-08 00:54:27.979000+00:00,AT_O_20210707_000150,AT_O_20210707_000148,AT_O_20210707_000149,5,1625705667.9779477,1625705536.308066,1625705586.5493112,0.606068846975355,39.03964321946128,-21.698728870847845,-2.58683729623,2.09216408857,-1.39564980671,0.349999402155,0.219999713348,6.25309401479e-07,75838.99341796876,-13.133284782019777,-107.23547373801416,-80.3200705944226,16.62445522100357,-3.347259453581733,51.52879050407211,-11.759895499752822,23.378120080022946,-1.04,0.475,-21.644,0.394,8.998,-11.289246858699817,-76.34127422977686,0.21645670420367885,0.12704020013857484,0.07583019698193998
2021-07-08 01:05:13.440000+00:00,AT_O_20210707_000161,AT_O_20210707_000159,AT_O_20210707_000160,5,1625706313.4394212,1625706179.2820144,1625706229.9934466,0.8178930914148748,29.3048285966472,-19.683208554137988,-2.39504298714,2.451124504625,-1.42466392612,0.349999656586,0.219999996275,-1.45862711408e-07,58747.44559716797,-26.585349185088106,-45.28285408420676,-143.49323731520394,18.536361632002688,13.016159428414962,12.283529087233251,-30.57516652901049,23.532781161519853,-1.018,0.494,-21.631,0.49,9.051,-1.9844548331205114,-95.24011942938111,0.27048724557599435,0.14870597070484343,0.09454154428917194
2021-07-08 01:18:42.531000+00:00,AT_O_20210707_000170,AT_O_20210707_000168,AT_O_20210707_000169,5,1625707122.5309134,1625706991.83947,1625707041.9675164,1.5838303558563347,24.45043575010466,-20.584566360214662,-2.46395265523,2.40558394903,-1.4236466806,0.349999025335,0.219999752452,8.44859035722e-07,49456.85749462889,30.36544629594713,-18.50995520301022,-172.7381889565789,-14.845299633256984,5.456116042137063,20.818888735999483,-0.9398127530190484,23.50675619301334,-1.017,0.498,-21.627,0.519,9.064,1.6284648439895,-100.55544190977216,0.28582916870672154,0.14969077845785575,0.09848077530122078
2021-07-08 01:25:20.771000+00:00,AT_O_20210707_000177,AT_O_20210707_000175,AT_O_20210707_000176,5,1625707520.7707665,1625707388.2385707,1625707438.120468,0.5624291144293966,35.07396757743438,-22.133314507704927,-2.60213779723,2.22640130651,-1.41607150975,0.349999043435,0.219999681512,5.01786798171e-07,69437.94439049545,-41.4487381431547,-9.000224986897544,-75.52590308784347,-12.57573314617266,-2.421877416833593,45.11533554520764,-2.3304785364101783,14.958480306430864,-1.015,0.501,-21.639,0.458,9.034,-5.357162419233353,-90.09287311769484,0.25147892739735594,0.15166039396388017,0.1014351985602574
2021-07-08 01:32:57.327000+00:00,AT_O_20210707_000185,AT_O_20210707_000183,AT_O_20210707_000184,5,1625707977.3266704,1625707845.1028924,1625707895.8420446,0.9177584648551762,44.56096677762381,-24.51489029652251,-3.23596784391,2.1423504296,-1.31177649233,0.349999869847,0.22000031095,7.15261218473e-08,84270.80852661135,-31.061541191918792,-9.343886892263152,-33.12302682068451,0.4973699364907701,-6.549266322909616,48.07192375811851,12.83186942260302,15.758972206463184,-1.021,0.498,-21.664,0.273,8.9,-14.816685642837282,-49.7159667227752,0.1367470098622079,0.14575154744580693,0.09848077530122078
2021-07-08 01:40:36.645000+00:00,AT_O_20210707_000193,AT_O_20210707_000191,AT_O_20210707_000192,5,1625708436.6449454,1625708303.7427807,1625708355.2401657,1.279877683739281,55.43443213156984,-24.183518124883253,-3.97165570635,2.3185228988,-1.18677035541,0.350000554465,0.220000107154,-6.11280858264e-07,98417.45328251764,-10.47511176653789,-11.002116611768622,-42.658202422255584,-5.248178569606552,-2.025398578270955,14.472626465851578,19.906489891316525,21.21528467062929,-1.04,0.481,-21.687,0.094,8.693,-3.378839126787204,-0.7328993495114032,0.0003345177309914072,0.12704020013857484,0.08173904350001322
2021-07-08 01:46:31.326000+00:00,AT_O_20210707_000199,AT_O_20210707_000197,AT_O_20210707_000198,5,1625708791.3253624,1625708657.4262486,1625708708.6496089,1.1545713035930198,64.82028568157894,-21.84732562569329,-3.99962559504,2.35035961521,-1.20700010479,0.34999953544,0.219998954887,9.21561945459e-07,107412.78004940254,-9.648717483350971,-29.629466327832464,-116.71250433590032,-0.5213921546116721,-7.825969612451138,16.99730749408682,3.5729188233166664,11.298400601724788,-1.07,0.453,-21.686,0.096,8.687,-1.2778850370541022,-0.034985844932722,-0.0006666101279996584,0.09749596754820856,0.054164426415671436
2021-07-08 01:50:50.320000+00:00,AT_O_20210707_000203,AT_O_20210707_000201,AT_O_20210707_000202,5,1625709050.3197477,1625708918.8227751,1625708968.9603117,0.7717756040379754,76.54341543156828,-19.487442379693384,-3.87839097411,2.25940250983,-1.23283851438,0.349999383229,0.220000370831,7.47509543413e-07,114838.7000539551,-2.123287081526513,-64.03089728350099,-171.07186396286758,-19.94598033854908,-9.006696940194274,5.624639184084943,13.071507711351094,10.73548495116818,-1.14,0.423,-21.684,0.099,8.69,-1.3034932328284947,-0.3267750052461392,0.002000528082813469,0.02855942483735417,0.024620193825305167
2021-07-08 01:55:23.384000+00:00,AT_O_20210707_000207,AT_O_20210707_000205,AT_O_20210707_000206,5,1625709323.380804,1625709189.8743684,1625709240.0297766,2.0536490328627406,82.66468427021172,-32.87214037428086,-3.80569126647,2.16492239024,-1.23677758946,0.350000077222,0.219999170171,3.93012061371e-07,117005.26392016606,14.627373626572512,-5.80897085012484,-162.32191714997256,10.144190177311662,-34.62201133913117,9.176333877320513,14.156417260281277,12.168093341195467,-1.228,0.403,-21.682,0.1,8.693,-1.8095256084726108,-0.28241151115586816,0.004000456389452077,-0.058103657427720216,0.004924038765061044
