,inFocus2s,inFocus20s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_astig_oblique_nm,zern_astig_vertical_nm,zern_coma_vertical_nm,zern_coma_horizontal_nm,zern_trefoil_vertical_nm,zern_trefoil_oblique_nm,zern_spherical_nm,position0,position1,position2,position3,position4,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-07-09 05:03:28.578000+00:00,AT_O_20210708_000249,AT_O_20210708_000250,AT_O_20210708_000251,AT_O_20210708_000252,20,1625807193.159892,1625807197.5341525,1625807248.5526776,9.839257835490145,83.73350449885908,15.949887072206096,-3.7886163123,2.28083431061,-1.248538963335,0.3499991535775,0.219998674368,8.51096174923e-07,117235.07192550358,0.9186928743782604,-76.50440163218866,-112.40540209979638,-27.729222391693103,-23.60937472505856,15.61253667507933,29.65229057679862,31.44526885383385,-1.233,0.403,-21.682,0.213,-1.468,-0.0,-0.0,0.0,0.0,0.0
2021-07-09 05:10:16.458000+00:00,AT_O_20210708_000255,AT_O_20210708_000256,AT_O_20210708_000257,AT_O_20210708_000258,20,1625807510.30598,1625807514.6268888,1625807565.2673502,-18.329093315091907,70.82659060129463,38.47885407929083,-3.73821657552,2.26303345655,-1.25226088643,0.350000292022,0.220000766983,-8.09397355539e-07,112119.14620911838,-64.05799221624564,3.827949587522224,-48.28739884467311,-36.92243845897695,16.984339399429313,-6.39940099560807,23.7755030994596,33.212664813374154,-1.176,0.418,-21.682,0.212,-1.476,1.886350195792695,1.1577789920840857,-0.0030018710218927074,0.056134041921696014,0.01477211629518308
2021-07-09 05:14:37.651000+00:00,AT_O_20210708_000261,AT_O_20210708_000262,AT_O_20210708_000263,AT_O_20210708_000264,20,1625807741.058118,1625807745.7166457,1625807796.7567685,-28.052366747526,61.65360331201302,41.59345829294961,-3.8898557175,2.2481774732,-1.23410294416,0.35000080755,0.219999892433,1.68421251991e-07,104616.12404976644,-97.7189006130809,82.61652427919601,-132.82518191483442,-3.257106460029709,-34.080932392467865,-19.8463133972768,24.23274707591884,40.13638436579921,-1.135,0.456,-21.68,0.21,-1.476,1.457142407473809,2.0775099670553967,-0.0030033573476956938,0.09651115979519648,0.05219481090964702
2021-07-09 05:18:13.031000+00:00,AT_O_20210708_000267,AT_O_20210708_000268,AT_O_20210708_000269,AT_O_20210708_000270,20,1625807947.638052,1625807952.1193297,1625808002.6652417,-40.980401743813154,48.86520757060812,44.05796004552451,-3.6158472279,2.24609581015,-1.27106907902,0.35000011711,0.220002267242,1.26233616238e-06,90241.94674633793,214.80392910570615,80.3414737579337,-43.10958048282541,-22.919849123636197,-66.17247475160487,-25.24976679692479,13.83784691036015,25.767702992705296,-1.078,0.488,-21.658,0.386,-1.269,-10.726948589685925,-46.69311774999608,0.13207545813807006,0.15264520171689228,0.08370865900603765
2021-07-09 05:21:53.379000+00:00,AT_O_20210708_000273,AT_O_20210708_000274,AT_O_20210708_000275,AT_O_20210708_000276,20,1625808166.8494694,1625808171.2050097,1625808221.8124683,-47.95585693151253,41.8994125953508,43.23072211690876,-3.02114612553,2.26489351767,-1.38343438111,0.349999412445,0.219998688038,-6.4660513632e-08,80320.71366479491,246.3146066608241,101.9218260625599,-47.80964715488734,20.639323714132114,-109.40115462333138,-39.57732588047844,25.50362737447718,36.47986299731442,-1.057,0.498,-21.63,0.601,-1.109,-0.8955654945037121,-94.45347910295102,0.2664859743302789,0.17332616453014876,0.09355673653615973
2021-07-09 05:25:09.069000+00:00,AT_O_20210708_000279,AT_O_20210708_000280,AT_O_20210708_000281,AT_O_20210708_000282,20,1625808358.671096,1625808362.4041982,1625808413.2405446,-57.51952308043954,32.427780477620544,43.68043141488946,-2.50840609561,2.326474328705,-1.520448894115,0.349999380777,0.2200008877115,1.80136140324e-06,64665.315907676566,181.42311122837629,100.45814792002164,101.53631319813984,41.20781537833457,-55.96108025757724,-43.51725346352022,2.411028844783172,38.59642861811124,-1.036,0.515,-21.616,0.708,-1.057,11.342988001785173,-114.78565994379035,0.324185498706022,0.19400712734340506,0.11029846833736728
2021-07-09 05:28:35.543000+00:00,AT_O_20210708_000285,AT_O_20210708_000286,AT_O_20210708_000287,AT_O_20210708_000288,20,1625808593.3266516,1625808597.5933073,1625808647.531549,-55.44206731095503,34.40453595957719,42.59216928307927,-2.536321588145,2.3090830123500004,-1.44483148459,0.349999412938,0.219999996275,3.590642211815e-08,68264.85716406252,137.1395746372262,108.36565902049227,69.7959873440942,20.496238970781494,-69.25961907998759,-37.0201754521081,14.681489606860335,37.579707714622586,-1.036,0.515,-21.622,0.687,-1.068,9.068908086763072,-111.64595181618478,0.31151375813107596,0.19400712734340506,0.11029846833736728
2021-07-09 05:32:22.799000+00:00,AT_O_20210708_000291,AT_O_20210708_000292,AT_O_20210708_000293,AT_O_20210708_000294,20,1625808794.122934,1625808798.787794,1625808849.698841,-44.15355214646928,45.72214684608494,43.55667532350401,-3.36770291368,2.25229391699,-1.31871276042,0.349999165545,0.219999996275,1.01250215016e-06,85766.35895972159,116.14571126859244,115.0655744770003,16.46613020744743,10.658794568978124,-68.15499232917556,-25.35450978954933,16.158881578336302,35.74967185095259,-1.04,0.514,-21.653,0.456,-1.237,-2.290310467136725,-60.958324535008,0.16776517800937252,0.1900678963313562,0.10931366058435507
2021-07-09 05:35:37.242000+00:00,AT_O_20210708_000297,AT_O_20210708_000298,AT_O_20210708_000299,AT_O_20210708_000300,20,1625808986.0009284,1625808989.897576,1625809040.5604477,-34.31934935989043,55.55477845860821,45.01212199804528,-3.901083972805,2.242833500055,-1.280102114085,0.350000594981,0.2200002396185,8.57798827285e-07,98375.61140926584,-125.04226644317222,95.27248071046914,-7.674130530770801,9.821641010077432,11.438138773815911,-25.856887026449915,27.487793057977942,39.39400203194162,-1.057,0.503,-21.685,0.207,-1.469,-1.252276841279965,0.25680331538069795,-0.003333748338812415,0.17332616453014876,0.09848077530122078
2021-07-09 05:40:25.115000+00:00,AT_O_20210708_000303,AT_O_20210708_000304,AT_O_20210708_000305,AT_O_20210708_000306,20,1625809281.637998,1625809285.9642498,1625809336.6090298,-22.41199294341056,67.07597724320829,44.42452492942896,-3.79172013794,2.25651960762,-1.248981846955,0.349999996275,0.220000022412,0.0,108939.91281762216,-126.50877998693656,29.9426189158062,-79.8187306437007,9.662239324650487,12.853145721273275,-0.393552859203562,36.97096473920407,32.47259708182144,-1.091,0.466,-21.683,0.209,-1.469,-0.7206362698438913,0.5042289816031859,-0.0020008148562639973,0.13984270092773365,0.06204288843976911
2021-07-09 05:44:46.804000+00:00,AT_O_20210708_000309,AT_O_20210708_000310,AT_O_20210708_000311,AT_O_20210708_000312,20,1625809535.6700563,1625809540.044324,1625809590.220347,-15.722555372854986,73.88194509584747,40.70162655238207,-3.72122123449,2.26757277096,-1.25188116626,0.350000652199,0.219999298653,-1.91982462348e-06,113443.70645560468,-79.68673550604915,8.816206777447176,-82.90109657645665,-0.6230969734452956,6.856732008293282,22.64089591371046,27.93156633658458,28.63735409160251,-1.127,0.44,-21.682,0.211,-1.47,0.05121639155067399,0.5835783206251483,-0.001334276421626916,0.10438962181929415,0.03643788686145168
2021-07-09 05:48:03.170000+00:00,AT_O_20210708_000315,AT_O_20210708_000316,AT_O_20210708_000317,AT_O_20210708_000318,20,1625809748.6853964,1625809752.8637235,1625809803.040608,-15.023326473673514,74.37128678996349,38.17637393597543,-3.72010795526,2.2684517942,-1.25161656792,0.349999827774,0.21999959023,-3.12110643156e-09,113698.14414404296,-82.90923228416338,26.54548101597094,-88.10187170094576,-0.1811060587307275,15.5730521816904,2.458911513266019,48.9972321313246,31.12431763256988,-1.128,0.44,-21.682,0.211,-1.469,-0.2146038941734962,0.4598654875141154,-0.0010007431629013457,0.10340481406628205,0.03643788686145168
