,message,level,elevationCalculatedAngle1,times,position0,position1,position2,position3,position4,position5,pressure,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-08-12 21:02:29.996000+00:00,"Starting Test1, Nominal LUT from m1_hex_20210810_v3.yaml:v0.8.2.alpha.2-0-g72c6e32",20,79.99917885501054,1628802112.8988385,-0.132,0.025,0.088,11.877,,4.966,120075.46048583985,-0.0,-0.0,0.0,0.0,0.0
2021-08-12 21:03:17.263000+00:00,"az,el,pos0,pos1,pos2 = 0, 83, -0.192, 0.013, 0.089, 11.878, 4.963",20,79.99917796094087,1628802160.1990263,-0.192,0.013,0.089,11.878,,4.963,121361.07399902344,1.06328114288759,0.4948513324465246,-0.0003341330349026494,-0.05908846518073248,-0.011817693036146498
2021-08-12 21:03:54.001000+00:00,"az,el,pos0,pos1,pos2 = 0, 76, -0.151, 0.013, 0.089, 11.88, 4.97",20,83.00006782848504,1628802196.9991777,-0.151,0.013,0.089,11.88,,4.97,117394.81954345704,-0.31703667727455875,-0.7072911537357387,0.002667809680352413,-0.01871134730723194,-0.011817693036146498
2021-08-12 21:04:14.417000+00:00,"az,el,pos0,pos1,pos2 = 0, 69, -0.099, 0.024, 0.09, 11.879, 4.974",20,78.09045499403146,1628802217.3992543,-0.099,0.024,0.09,11.879,,4.974,110924.66970214844,-1.5949217143141483,-0.74227699866766,0.004001199552353274,0.03249865584940287,-0.0009848077530122089
2021-08-12 21:04:34.836000+00:00,"az,el,pos0,pos1,pos2 = 0, 62, -0.062, 0.046, 0.089, 11.878, 4.979",20,76.00203162271646,1628802237.7993338,-0.062,0.046,0.089,11.878,,4.979,102840.66459960937,-3.1898434284371473,-1.4845539973163604,0.0050023991047070645,0.06893654271085457,0.020680962813256366
2021-08-12 21:04:53.166000+00:00,"az,el,pos0,pos1,pos2 = 0, 55, -0.031, 0.065, 0.089, 11.876, 4.983",20,69.00007000406913,1628802256.099408,-0.031,0.065,0.089,11.876,,4.983,93578.35578613282,-4.7335487506555,-1.6432526753514076,0.00566932223543342,0.09946558305423302,0.03939231012048832
2021-08-12 21:05:13.679000+00:00,"az,el,pos0,pos1,pos2 = 0, 48, -0.005, 0.081, 0.088, 11.873, 4.987",20,62.01677924235992,1628802276.5994968,-0.005,0.081,0.088,11.873,,4.987,82487.5721069336,-6.543074357811202,-1.9256641864864497,0.005669778624885864,0.1250705846325504,0.05514923416868365
2021-08-12 21:05:34.001000+00:00,"az,el,pos0,pos1,pos2 = 0, 41, 0.018, 0.095, 0.086, 11.871, 4.989",20,55.0001200123661,1628802296.9995856,0.018,0.095,0.086,11.871,,4.989,70700.32677001953,-7.606355499454754,-2.4205155188788114,0.005003911659788585,0.1477211629518312,0.06893654271085457
2021-08-12 21:05:52.514000+00:00,"az,el,pos0,pos1,pos2 = 0, 34, 0.037, 0.106, 0.084, 11.866, 4.989",20,48.001071719729225,1628802315.49965,0.037,0.106,0.084,11.866,,4.989,57429.68122558594,-8.858632338751613,-2.163712203529573,0.002670163320975991,0.16643251025906317,0.07976942799398884
2021-08-12 21:06:12.646000+00:00,"az,el,pos0,pos1,pos2 = 0, 27, 0.053, 0.114, 0.081, 11.865, 4.99",20,41.0000649674912,1628802335.599727,0.053,0.114,0.081,11.865,,4.99,42633.55319824219,-9.441489300603426,-2.9947161902490373,0.0016715062600544143,0.18218943430725848,0.08764789001808651
2021-08-12 21:06:29.643000+00:00,"az,el,pos0,pos1,pos2 = 0, 25, 0.055, 0.116, 0.08, 11.864, 4.993",20,33.999954073049594,1628802351.799794,0.055,0.116,0.08,11.864,,4.993,37796.19564208984,-10.504770441012313,-3.4895675225740126,0.0020056392949570627,0.1841590498132829,0.08961750552411092
2021-08-12 21:06:49.868000+00:00,"az,el,pos0,pos1,pos2 = 0, 32, 0.055, 0.115, 0.08, 11.864, 4.99",20,26.99988251767354,1628802372.8298776,0.055,0.115,0.08,11.864,,4.99,53419.24038085937,-9.707309585754789,-3.118429023333802,0.0010050395187802044,0.1841590498132829,0.08863269777109872
2021-08-12 21:07:10.282000+00:00,"az,el,pos0,pos1,pos2 = 0, 39, 0.051, 0.112, 0.081, 11.865, 4.99",20,24.999968467571307,1628802393.2299654,0.051,0.112,0.081,11.865,,4.99,66994.982421875,-9.441489300603426,-2.9947161902490373,0.0016715062600544143,0.18021981880123406,0.08567827451206209
2021-08-12 21:07:28.891000+00:00,"az,el,pos0,pos1,pos2 = 0, 46, 0.043, 0.106, 0.081, 11.866, 4.988",20,31.99949061711959,1628802411.8300436,0.043,0.106,0.081,11.866,,4.988,78980.014453125,-8.669636640694717,-2.915366851243086,0.0013380446946909402,0.17234135677713638,0.07976942799398884
2021-08-12 21:07:49.495000+00:00,"az,el,pos0,pos1,pos2 = 0, 53, 0.028, 0.095, 0.082, 11.868, 4.986",20,39.00007536848716,1628802432.4301262,0.028,0.095,0.082,11.868,,4.986,90310.66710205078,-7.6319636951951475,-2.7123046791469068,0.0016710498706019703,0.15756924048195328,0.06893654271085457
2021-08-12 21:08:09.813000+00:00,"az,el,pos0,pos1,pos2 = 0, 60, 0.001, 0.077, 0.083, 11.868, 4.984",20,45.98545601805381,1628802452.7302065,0.001,0.077,0.083,11.868,,4.984,100225.25118408204,-7.07471492867987,-2.173089852685828,0.0013368451423373742,0.1309794311506237,0.05121000315663481
2021-08-12 21:08:30.226000+00:00,"az,el,pos0,pos1,pos2 = 0, 67, -0.033, 0.054, 0.086, 11.872, 4.977",20,52.99991360148124,1628802473.1602871,-0.033,0.054,0.086,11.872,,4.977,108635.39392089844,-4.17629998369196,-1.10403784883875,0.0013351175071691153,0.09749596754820859,0.02855942483735403
