,intra,extra,inFocus2s,inFocus20s,inFocusExpTime2s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_astig_oblique_nm,zern_astig_vertical_nm,zern_coma_vertical_nm,zern_coma_horizontal_nm,zern_trefoil_vertical_nm,zern_trefoil_oblique_nm,zern_spherical_nm,position0,position1,position2,position3,position5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid,azShift,elShift,medianXx,medianYy,psf_fwhmx,psf_fwhmy,psf_fwhm_overall
2021-08-17 23:34:44.513000+00:00,AT_O_20210817_000154,AT_O_20210817_000155,AT_O_20210817_000156,AT_O_20210817_000157,2,15,1629243565.963257,1629243261.877756,1629243311.68681,5.406749636686,39.08311410984257,38.84912250760623,-3.94138242933,2.2630966805,-1.17751668682,0.349999964671,0.21999981182,-1.58991913669e-07,67162.5119602051,-8.608400806206586,-124.8877346061456,-32.24137271757325,9.585381543082756,-0.919817117790827,34.0467497868983,10.51194238861004,10.304609273025882,0.04,0.12,0.085,11.872,4.967,-0.0,-0.0,0.0,0.0,0.0,1643.764148263394,1276.970571892555,0.0,0.0,1.4887466210138385,1.4069069894154227,1.3095900839799521,1.2716733811848433,1.29018550235967
2021-08-17 23:52:31.762000+00:00,AT_O_20210817_000167,AT_O_20210817_000168,AT_O_20210817_000169,AT_O_20210817_000170,2,15,1629244530.0174458,1629244329.1141143,1629244379.771339,4.151473041892328,47.17137543260241,41.60641534346688,-4.04215686917,2.22242358848,-1.18968310255,0.350000174732,0.220000174923,1.42164615836e-07,80989.82184350585,24.15800780523328,-92.58072385510528,-65.63009341431926,3.681282722107678,-10.90749703583061,1.793906295395748,40.12479368126282,4.774928664925188,0.03,0.119,0.083,11.872,4.966,0.214603894173378,-0.4598654875141703,-0.0009992568370985,-0.009848077530122,-0.0009848077530122,1848.8903610017471,1361.646975687638,10.885689030277032,20.47656609790321,1.1221601964873875,1.1731181805303654,1.0723124005768525,1.1342128413897024,1.1027915108690154
2021-08-18 00:09:14.384000+00:00,AT_O_20210817_000179,AT_O_20210817_000180,AT_O_20210817_000181,AT_O_20210817_000182,2,15,1629245580.7577689,1629245331.7347589,1629245381.9353628,5.159839989995817,58.56070650657348,40.64021193210326,-4.05840512037,2.27997703916,-1.2190039794,0.35000039398,0.220000760167,-1.61055401286e-06,98393.1151604004,26.47030417199482,-103.83492132198974,-117.06222770990348,15.43687267196118,-5.685439769956021,1.1961698985774714,17.251985877736495,2.9355362766174298,0.005,0.108,0.083,11.873,4.957,2.8471985554600194,0.4854736832893703,-0.0036674512135414,-0.0344682713554272,-0.0118176930361464,1767.397119149028,2407.823391296897,116.4161674791034,-24.06897874901974,1.158675837812042,1.0275702332146184,1.1233989247798806,1.0049622224658696,1.0606657398472747
2021-08-18 00:17:20.664000+00:00,AT_O_20210817_000184,AT_O_20210817_000185,AT_O_20210817_000186,AT_O_20210817_000187,2,15,1629246058.0598023,1629245818.028772,1629245868.6990917,1.6074848359575673,65.48222858782039,43.31077496778687,-3.96262083697,2.2893402362,-1.23305147827,0.350000761701,0.220000159721,4.65664624799e-07,107133.6458413086,-37.15835459874518,-83.25409781354136,-121.68097645304786,17.981510162557964,4.126407552541897,-3.7664363218301258,-3.3007455186658525,3.134423166579458,-0.028,0.087,0.084,11.874,4.952,4.442120269300036,1.227750681946599,-0.0046686507658946,-0.0669669272048301,-0.0324986558494028,1901.4182952340454,2412.096460689308,120.010580492877,-19.830997201091694,1.1526907226873593,0.9925142367893393,1.1140935530334268,0.9645687590054882,1.0302286851176476
2021-08-18 00:23:46.573000+00:00,AT_O_20210817_000189,AT_O_20210817_000190,AT_O_20210817_000191,AT_O_20210817_000192,2,15,1629246401.4965065,1629246203.9334714,1629246254.1032808,0.8566024176758947,70.14675284762866,42.96561501448043,-3.94808677072,2.3643629035,-1.23822552628,0.350000302624,0.219999891661,0.0,112041.04645684936,-1.303129781681633,-69.77802951681507,-147.3304314693333,-17.604623392933142,-3.4982477565639614,20.701457100925765,16.66510151503247,7.245182802011974,-0.057,0.07,0.086,11.877,4.948,6.277254072343379,1.8019513533847191,-0.0043362453661602,-0.0955263520421841,-0.0492403876506103,1851.0478747302172,2560.875872942852,129.24641508868842,-42.01963470677998,1.0316855644953509,0.8226957755379032,1.0004639166227705,0.796737542775464,0.8920600578256018
2021-08-18 00:42:57.649000+00:00,AT_O_20210817_000203,AT_O_20210817_000204,AT_O_20210817_000205,AT_O_20210817_000206,2,15,1629247649.8216395,1629247355.0001736,1629247405.129212,13.20909261321649,79.27125245172705,31.74922523026093,-3.75391479402,2.2816320777,-1.26790784282,0.3499998003475,0.220000513615,-4.57172633968e-07,119577.79549707028,25.24751047990061,-105.55956713842713,-75.44933364517084,10.69173281760161,-6.847220857743509,30.145284898550763,2.4941247571235694,0.47948750466086,-0.132,0.041,0.09,11.881,4.941,9.201277211144998,3.1627925174130835,-0.0040051112121422,-0.1693869335180998,-0.0777998124879644,1069.473255083785,2579.8577748015446,47.68206315955573,-140.94437805413006,1.2669335524675118,1.163528968799751,1.1835060867278808,1.1065568943005575,1.1420505666435903
2021-08-18 00:55:10.568000+00:00,AT_O_20210817_000211,AT_O_20210817_000212,AT_O_20210817_000213,AT_O_20210817_000214,2,15,1629248258.1283202,1629248087.9335177,1629248138.1328588,10.743975641505967,84.31864982683328,31.205404571935944,-3.62018404348,2.16646616329,-1.27285550254,0.350000678769,0.220000346284,2.27251432722e-07,121604.82113922712,10.286938782960137,-64.56324026850479,-133.87420225311382,-13.914697339586771,-4.664191342625993,40.846975141809,17.305015691335974,-0.1403162935869792,-0.244,0.007,0.091,11.882,4.937,10.530378636720837,3.781356682796596,-0.0046727775057703,-0.279685401855467,-0.1112832760903795,1584.8944318767158,2823.748356193817,92.10058549741758,-132.97466265379313,1.4071640437555872,1.119313593481889,1.2981808925080793,1.065705597984324,1.1667223872322685
2021-08-18 01:15:45.913000+00:00,AT_O_20210817_000216,AT_O_20210817_000217,AT_O_20210817_000218,AT_O_20210817_000219,2,2,1629250053.5201902,1629249323.2753546,1629249373.307562,2.8566901497554498,75.41889221210208,18.668812663602,-3.49650163064,2.09989572254,-1.27927303056,0.34999928057,0.22,8.19728463775e-07,116811.43295971678,-77.40368964784574,-39.67708684054192,-102.47889689837082,20.080476353376525,29.67172091350368,19.997084886521463,33.993338707171986,2.593894292824146,-0.172,0.024,0.09,11.883,4.948,7.820959393327853,1.960650031416116,-0.0010031684968874,-0.2087792436385881,-0.0945415442891719,1835.2732082824523,2693.71654615353,97.91097216636152,-112.83943695711733,1.249677981156485,0.9930684994933375,1.1882671366263169,0.9440790602351479,1.0591575113261795
2021-08-18 01:30:52.176000+00:00,AT_O_20210817_000222,AT_O_20210817_000223,AT_O_20210817_000224,AT_O_20210817_000225,2,15,1629250548.820238,1629250229.5422647,1629250279.5717604,16.470217717348422,76.06638965446648,4.198021442160535,-3.61601623746,2.12454407937,-1.26782063494,0.349999400824,0.219999662906,-7.91084977191e-08,117451.08354565428,3.819211000296797,-71.16974998316529,-41.7493106322549,15.000050298359126,10.253019854685318,18.469286130519627,11.095636202922265,4.660992479544152,-0.173,0.024,0.09,11.883,4.948,7.820959393327853,1.960650031416116,-0.0010031684968874,-0.2097640513916003,-0.0945415442891719,1710.2371772008883,2579.6699129813846,48.965959097838315,-127.21057847947803,0.9992888382011726,0.9339030907010009,0.9757202297791142,0.9299748300596318,0.9465951819556201
2021-08-18 01:42:35.081000+00:00,AT_O_20210817_000229,AT_O_20210817_000230,AT_O_20210817_000231,AT_O_20210817_000232,2,15,1629251188.6569867,1629250932.4416556,1629250983.0175316,2.4880852155410684,65.91622209390248,43.62283777122502,-3.78038147615,2.24375120356,-1.24821348832,0.350000151283,0.219999614458,1.41748404666e-09,107651.61759081075,-15.4565305860266,-23.40053877435852,-93.99139507285835,19.22748802526969,5.972395917192209,3.783047778734868,27.19029300621266,12.615147152485193,-0.107,0.066,0.092,11.882,4.955,5.771221697101913,1.846314847471128,0.001663682940477,-0.1447667396927945,-0.0531796186626592,1839.1694152959737,2564.5880531539233,132.24469478362155,-32.15019965948195,1.1329299684745946,0.9932252268290297,1.0995542790837687,0.9669136126107003,1.0310017488339063
2021-08-18 01:52:43.074000+00:00,AT_O_20210817_000235,AT_O_20210817_000236,AT_O_20210817_000237,AT_O_20210817_000238,2,2,1629251833.003337,1629251540.4330602,1629251590.5936944,1.963432820886956,56.3233790053954,42.49128794197983,-3.89573208758,2.23407946346,-1.22647706209,0.349999424469,0.220000395228,6.52433875758e-07,95133.16961499024,4.145650171131956,4.812344126010357,-76.27555190393306,1.6618646229972829,0.5712660029126843,-0.9255072950148636,27.62041145307297,17.405340140878618,-0.062,0.095,0.091,11.879,4.961,3.430055518323842,1.316477670122684,0.0023312058473806,-0.1004503908072452,-0.0246201938253051,1708.2715211000193,2510.8427019280284,126.81208124475846,-24.281012102901684,0.9843312130852253,0.8798166607317776,0.9261155407896414,0.8736186603373637,0.8943316027562741
2021-08-18 02:08:38.998000+00:00,AT_O_20210817_000246,AT_O_20210817_000247,AT_O_20210817_000248,AT_O_20210817_000249,2,15,1629252728.8190749,1629252496.3639984,1629252547.2582164,3.359731914413358,46.48839865203441,41.83918028176498,-3.78528626218,2.2233254348,-1.1988638321899998,0.35,0.219999958234,-2.04095894797e-08,79859.28646599264,-23.197586519364062,-5.280537195426036,-98.53333787501872,29.547760843521843,25.84398409792219,34.58819276004662,33.92310612625114,19.658450157839106,-0.021,0.119,0.089,11.876,4.966,1.3291014286027407,0.6185641655573563,0.002332333706372,-0.0600732729337446,-0.0009848077530122,2063.639974180233,2783.366018317499,160.45681648819203,30.973085725948767,1.0966655388693398,0.9853788958798285,1.0785794189669278,0.9826437331486515,1.0294622336592976
2021-08-18 02:25:31.078000+00:00,AT_O_20210817_000259,AT_O_20210817_000260,AT_O_20210817_000261,AT_O_20210817_000262,2,15,1629253747.513048,1629253508.4307826,1629253559.4167008,4.002959225156719,37.22630454880538,42.47799554275573,-4.00888917609,2.25242631699,-1.18948585859,0.349999588108,0.22000014602,2.55149558799e-07,63675.10346488203,-15.907114439050432,-44.36663943185352,-89.58027338422984,9.58940645737342,5.062160352291329,38.12337637050533,40.39582505891885,17.13188879078567,0.007,0.136,0.087,11.872,4.968,-0.2146038941736144,0.4598654875140564,0.0009992568370987,-0.0324986558494028,0.0157569240481953,1768.8349739074079,1462.1719665127036,18.076002697083712,14.786486350179898,1.5758808892089686,1.5268054441049648,1.3516940349235742,1.3376516919882455,1.3443080413555981
