,inFocus20s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,airmass,seeing
2021-09-10 05:16:38.682000+00:00,AT_O_20210909_000510,30,1631250998.681667,1631250966.0294087,1631250998.681667,-1.5765459467639271,81.05996240650887,179.5032559173357,-3.81085924408,2.30851728661,-1.22027142922,0.349999620702,0.219999780697,3.22458422608e-08,120311.25273513797,1.0122978858535787,0.6850826938947042
2021-09-10 05:17:11.281000+00:00,AT_O_20210909_000511,30,1631251031.2796803,1631250998.6793501,1631251031.2796803,-2.310708507050549,81.04769267819938,180.1570690559929,-3.81062801441,2.30852254053,-1.23679463601,0.350001636719,0.220001820825,7.15194367521e-08,120309.14463630442,1.0123320123846793,0.7040299773216248
2021-09-10 05:17:59.682000+00:00,AT_O_20210909_000512,30,1631251079.6815891,1631251047.030639,1631251079.6815891,-0.4258591652465067,75.057895322848,178.3841313666247,-3.85746308007,2.30852620396,-1.23210574541,0.350001931885,0.219998833933,-2.14009179417e-07,116631.81528778079,1.0349964804261023,0.7103432615598043
2021-09-10 05:18:32.257000+00:00,AT_O_20210909_000513,30,1631251112.2546258,1631251079.6796956,1631251112.2546258,-0.8684243979769235,75.05173403516619,178.74439801502558,-3.85746308007,2.30852620396,-1.23210574541,0.350001931885,0.219998833933,-2.14009179417e-07,116529.45493496979,1.035026188992851,0.7119357883930206
2021-09-10 05:19:20.554000+00:00,AT_O_20210909_000514,30,1631251160.5531204,1631251127.9037254,1631251160.5531204,-0.3085157245976999,70.05782714326448,178.24575199058216,-3.9096953659,2.3085178511,-1.22641905272,0.349997847673,0.219999615522,-4.58362539506e-07,111889.3102239435,1.0637875365580292,0.7456055879592896
2021-09-10 05:19:53.135000+00:00,AT_O_20210909_000515,30,1631251193.1341307,1631251160.5474257,1631251193.1341307,-0.6421561651773118,70.05234787453901,178.4931501042447,-3.9096953659,2.3085178511,-1.22641905272,0.349997847673,0.219999615522,-4.58362539506e-07,111888.92765780361,1.0638244536577337,0.7263443470001221
2021-09-10 05:20:41.090000+00:00,AT_O_20210909_000516,30,1631251241.088394,1631251208.430205,1631251241.088394,-0.24475797506875097,66.05781945613808,178.17133831739193,-3.95678745188,2.30852464626,-1.22075228189,0.350000605042,0.220000724441,-5.8665932335e-07,108345.85511400626,1.0941452384159989,0.7248411178588867
2021-09-10 05:21:13.662000+00:00,AT_O_20210909_000517,30,1631251273.6618836,1631251241.0834496,1631251273.6618836,-0.5167486724353694,66.0218319085393,178.35225471242984,-3.95678745188,2.30852464626,-1.22075228189,0.350000605042,0.220000724441,-5.8665932335e-07,108416.303074646,1.0944506851115867,0.7031410038471222
2021-09-10 05:22:01.785000+00:00,AT_O_20210909_000518,30,1631251321.7840858,1631251289.1391654,1631251321.7840858,-0.1942109219640825,61.05802521492826,178.10782775018808,-4.01741543172,2.30852245435,-1.21236155512,0.350001647279,0.22000031451,-1.29242708924e-06,101586.94156074524,1.1427131736708607,0.7263489961624146
2021-09-10 05:22:34.356000+00:00,AT_O_20210909_000519,30,1631251354.3556144,1631251321.7816463,1631251354.3556144,-0.4286538083956657,61.05189353907099,178.24721707444405,-4.01741543172,2.30852245435,-1.21236155512,0.350001647279,0.22000031451,-1.29242708924e-06,101545.10436678804,1.1427808093052219,0.7456125617027283
2021-09-10 05:23:21.614000+00:00,AT_O_20210909_000520,30,1631251401.613461,1631251368.9405377,1631251401.613461,-0.1586924125436009,57.05831338442063,178.06772910471727,-4.06416144761,2.30852483273,-1.20453541296,0.350000460601,0.220001122906,-6.6601763183e-08,96170.75545730589,1.191576347931853,0.7709773182868958
2021-09-10 05:23:54.189000+00:00,AT_O_20210909_000521,30,1631251434.1879604,1631251401.6110628,1631251434.1879604,-0.36696603949258133,57.04862079796976,178.1760463346145,-4.06416144761,2.30852483273,-1.20453541296,0.350000460601,0.220001122906,-6.6601763183e-08,95972.70973381272,1.191706992835304,0.7609982887903849
2021-09-10 05:24:42.727000+00:00,AT_O_20210909_000522,30,1631251482.7271838,1631251450.080065,1631251482.7271838,-0.12853234714103481,51.05943383524242,178.02817444645606,-4.12189853405,2.30852577166,-1.19124622647,0.350000386687,0.220000424572,-3.4975626315e-07,86984.39200019836,1.2856802837568997,0.7551149427890778
2021-09-10 05:25:15.307000+00:00,AT_O_20210909_000523,30,1631251515.3061182,1631251482.724754,1631251515.3061182,-0.30854973438408706,51.054647646190915,178.10215569514548,-4.12189853405,2.30852577166,-1.19124622647,0.350000386687,0.220000424572,-3.4975626315e-07,86907.99633160215,1.285767079782789,0.7561146020889282
2021-09-10 05:26:02.590000+00:00,AT_O_20210909_000524,30,1631251562.587282,1631251529.9357939,1631251562.587282,-0.10238765700540337,48.0600426993981,178.00839751694795,-4.14225217545,2.30851726348,-1.18383471513,0.349998192925,0.219999593729,2.58359697547e-06,82349.40196940106,1.3443649629732213,0.7526341875394186
2021-09-10 05:26:35.181000+00:00,AT_O_20210909_000525,30,1631251595.1799483,1631251562.5814672,1631251595.1799483,-0.2712117643950478,48.052621290364186,178.06813806243008,-4.14225217545,2.30851726348,-1.18383471513,0.349998192925,0.219999593729,2.58359697547e-06,82269.38188513558,1.3445214523509694,0.7584311664104462
2021-09-10 05:27:24.752000+00:00,AT_O_20210909_000526,30,1631251644.75136,1631251612.1034667,1631251644.75136,-0.03662961836027645,41.06288596017685,177.977398089456,-4.15630961393,2.30852612896,-1.16570345779,0.35000091612,0.220001027287,3.36443423382e-07,70503.59213256834,1.5223318979309088,0.6929320394992828
2021-09-10 05:27:57.321000+00:00,AT_O_20210909_000527,30,1631251677.3207557,1631251644.7496777,1631251677.3207557,-0.18573572122568294,41.058184902472476,178.00973599258577,-4.15630961393,2.30852612896,-1.16570345779,0.35000091612,0.220001027287,3.36443423382e-07,70403.9017726089,1.5224752860318316,0.6644110480944315
2021-09-10 05:28:44.652000+00:00,AT_O_20210909_000528,30,1631251724.6494005,1631251692.0013323,1631251724.6494005,0.07194622287043427,38.0642165282003,177.96317345452687,-4.14343759481,2.30851842615,-1.15621095275,0.349998470249,0.220001578974,-5.61763020991e-07,65108.97319526672,1.6219435127719821,0.6237798929214478
2021-09-10 05:29:17.277000+00:00,AT_O_20210909_000529,30,1631251757.277182,1631251724.6440825,1631251757.277182,-0.07075543477003521,38.05542944679519,177.98509839404096,-4.14343759481,2.30851842615,-1.15621095275,0.349998470249,0.220001578974,-5.61763020991e-07,64870.337602834996,1.6222612411623714,0.6215388973553976
2021-09-10 05:30:03.539000+00:00,AT_O_20210909_000530,30,1631251803.537981,1631251770.8978002,1631251803.537981,1.1585516443980548,33.06765436156032,177.94536294998198,-4.09301809312,2.30852242016,-1.14082313501,0.349999580484,0.220000734146,-4.67194048379e-07,55431.857081927665,1.8327473274427826,0.6188293695449829
2021-09-10 05:30:36.112000+00:00,AT_O_20210909_000531,30,1631251836.1099322,1631251803.5358489,1631251836.1099322,1.0253859617719172,33.05485633882927,177.9524221731699,-4.09301809312,2.30852242016,-1.14082313501,0.349999580484,0.220000734146,-4.67194048379e-07,55272.0081964666,1.8333763467663118,0.6245595216751099
