,intra,extra,inFocus5s,inFocusExpTime5s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,filter,rot_pos,el,az,x,y,z,u,v,w,m1,position0,position1,position2,position3,position5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2022-02-09 01:02:14.671000+00:00,AT_O_20220208_000145,AT_O_20220208_000146,AT_O_20220208_000147,5.0,1644368649.7083807,1644368548.9709506,1644368599.1322887,SDSSg,10.638593142392349,73.30813987095259,80.22051863494765,-3.735842275,1.85593496297,-1.18277273088,0.350000066974,0.220000141112,-1.06744203339e-06,114796.61777856453,-0.01,-0.054,-0.0031,0.025,0.929,-0.0,-0.0,0.0,0.0,0.0
2022-02-09 03:47:59.978000+00:00,AT_O_20220208_000332,AT_O_20220208_000333,AT_O_20220208_000334,5.0,1644378595.36605,1644378494.2857945,1644378545.3656592,SDSSg,-131.13449027336787,44.94139128414784,-4.430699848999068,-4.09415058102,2.24577545718,-1.09796620614,0.350001158905,0.219999848807,1.83989677381e-08,77264.08904550588,0.103,0.057,-0.0027,0.01,0.943,-7.314422067997866,0.9058809085764078,-0.00020146394348467952,0.1112832760903795,0.10931366058435509
2022-02-09 03:53:41.229000+00:00,AT_O_20220208_000337,AT_O_20220208_000338,AT_O_20220208_000339,5.0,1644378937.3564377,1644378835.5321338,1644378886.1921425,SDSSg,-139.64412639149342,39.764302904294766,-0.6811964871697401,-3.97850052725,2.28150578939,-1.084190150445,0.349999690672,0.220000014724,-1.04617187351e-06,68111.64797650506,0.104,0.059,-0.00275,0.01,0.941,-6.784061906957815,1.1387171167786798,-0.0008851735503952215,0.11226808384339171,0.1112832760903795
2022-02-09 03:59:29.590000+00:00,AT_O_20220208_000341,AT_O_20220208_000342,AT_O_20220208_000343,5.0,1644379286.1052363,1644379183.899462,1644379234.1473873,SDSSg,-143.51738731115492,35.365080356774804,-1.2118420364673583,-3.88267371898,2.33357369935,-1.0745716658,0.350001118849,0.220001334286,-2.64130830841e-07,59706.92147607423,0.106,0.061,-0.0027,0.008,0.941,-7.263205676511143,1.4894592291830488,-0.0015357403651115962,0.11423769934941612,0.1132528915964039
2022-02-09 04:05:52.094000+00:00,AT_O_20220208_000347,AT_O_20220208_000348,AT_O_20220208_000349,5.0,1644379665.1989872,1644379566.407524,1644379616.416761,SDSSg,-149.33098091402206,29.901443649746945,-0.7996573264553445,-3.98339454143,2.12770193773,-1.08038859783,0.349999848007,0.220000343838,9.32601371516e-07,48696.00995556641,0.11,0.065,-0.00265,0.006,0.942,-8.008169731322832,1.7164885084761616,-0.001852773921102363,0.11817693036146495,0.11719212260845274
2022-02-09 04:11:19.983000+00:00,AT_O_20220208_000353,AT_O_20220208_000354,AT_O_20220208_000355,5.0,1644379993.2000687,1644379894.288027,1644379944.2306912,SDSSg,-153.77112804570382,24.958617423393008,-1.2302278782095528,-3.94769278046,2.18301659114,-1.06733332927,0.349999715478,0.219999458622,1.55672291756e-06,37149.34898706055,0.113,0.068,-0.00255,0.003,0.945,-9.523706036020899,1.8787579067641709,-0.0018197028222704393,0.12113135362050158,0.12014654586748938
2022-02-09 04:16:59.733000+00:00,AT_O_20220208_000359,AT_O_20220208_000360,AT_O_20220208_000361,5.0,1644380333.841427,1644380234.0368254,1644380284.7040985,SDSSg,-159.91604971654334,19.4356818332462,-0.5914012665703194,-3.76040955835,2.24882485797,-1.06213425713,0.349998545694,0.219999622948,3.16526741247e-07,23018.33132226562,0.115,0.071,-0.00245,0.0,0.948,-11.039242339690675,2.041027305049855,-0.0017866317234385169,0.123100969126526,0.123100969126526
2022-02-10 00:35:26.876000+00:00,AT_O_20220209_000111,AT_O_20220209_000112,AT_O_20220209_000113,5.0,1644453442.857735,1644453341.18197,1644453392.136835,SDSSg,8.98172059134231,63.81397670348473,52.82259139926778,-3.86792556751,2.27188691162,-1.1548943651,0.350000041028,0.22000105908,6.8879160854e-07,104703.42414263556,0.024,-0.037,-0.00325,0.019,0.934,-2.7742151975140517,0.34612542360252874,-0.0003838926872770504,0.033483463602415074,0.016741731801207537
2022-02-10 02:12:10.681000+00:00,AT_O_20220209_000247,AT_O_20220209_000248,AT_O_20220209_000249,5.0,1644459245.4566584,1644459144.985929,1644459195.2938192,SDSSg,-12.4545959867473,54.07861206670932,-121.45837237394676,-3.77202074089,2.22651489508,-1.11850081158,0.34999929247,0.219999921423,0.0,91612.31396215822,0.049,0.014,-0.003,0.018,0.937,-3.805486095427497,0.21601054154709828,0.00036631758410855564,0.05810365742772028,0.06696692720483015
2022-02-10 02:23:15.329000+00:00,AT_O_20220209_000251,AT_O_20220209_000252,AT_O_20220209_000253,5.0,1644459912.153155,1644459809.6171913,1644459859.926212,SDSSg,0.6792284004436806,60.76969940205687,99.48546858550952,-3.85365237312,2.16156124522,-1.14024900259,0.349999649069,0.2199996454,4.9809996796e-07,100715.30340671912,0.042,0.013,-0.00295,0.018,0.938,-4.0700259712665305,0.1068871664510076,0.0007164939322934523,0.05121000315663482,0.06598211945181794
2022-02-10 02:29:19.993000+00:00,AT_O_20220209_000254,AT_O_20220209_000255,AT_O_20220209_000256,5.0,1644460280.547419,1644460174.297559,1644460225.5417347,SDSSi,1.5280879867895434,62.06924273353127,99.11249293104744,-3.84262661248,2.16155225047,-1.14720851987,0.350000264793,0.22,5.04108857254e-07,102263.18851270487,0.035,0.011,-0.003,0.019,0.937,-3.5652740055552687,0.047934214345665326,0.0006999225361964067,0.04431634888554937,0.06401250394579353
2022-02-10 02:34:20.548000+00:00,AT_O_20220209_000257,AT_O_20220209_000258,AT_O_20220209_000259,5.0,1644460576.714774,1644460474.8463063,1644460525.9839694,SDSSr,2.228120451884024,63.13910921675835,98.80899530896345,-3.84900464886,2.25790487235,-1.14441726749,0.350000397927,0.220000531673,-1.37421726482e-06,103788.8772812787,0.03,0.009,-0.003,0.019,0.937,-3.5652740055552687,0.047934214345665326,0.0006999225361964067,0.03939231012048832,0.06204288843976911
2022-02-10 02:38:37.396000+00:00,AT_O_20220209_000260,AT_O_20220209_000261,AT_O_20220209_000262,5.0,1644460838.5472715,1644460731.6996324,1644460782.5075805,empty_1,2.830220119965459,64.05552461409117,98.549598087091,-3.8403912415,2.25790360244,-1.1305481576,0.35,0.220001230242,-1.94741194558e-07,104769.0229836857,0.025,0.006,-0.00305,0.019,0.936,-3.3007341296930752,0.15705758944181003,0.00034974618801147223,0.03446827135542729,0.05908846518073248
2022-02-10 02:54:17.460000+00:00,AT_O_20220209_000265,AT_O_20220209_000266,AT_O_20220209_000267,5.0,1644461774.4210303,1644461671.7639182,1644461722.4332235,SDSSg,5.009940832902965,67.4130135302922,97.64599855312667,-3.81348564045,2.13376257165,-1.1544970409,0.350000263118,0.220000386008,1.09227660886e-06,108753.38932052311,0.005,-0.003,-0.00305,0.021,0.934,-2.2886693785344607,0.06833060126249949,0.00034988957473595987,0.01477211629518312,0.05022519540362261
2022-02-10 03:09:38.636000+00:00,AT_O_20220209_000273,AT_O_20220209_000274,AT_O_20220209_000275,5.0,1644462694.262622,1644462592.939096,1644462643.3036823,SDSSg,7.132531926962067,70.71666802218733,96.81066170315728,-3.61941269974,1.996399482625,-1.16117359708,0.35000070975,0.220000034535,-2.469991701165e-07,111936.11719116208,-0.016,-0.013,-0.00315,0.022,0.933,-1.785197822488126,-0.00521180885850181,0.0003166750891795484,-0.005908846518073248,0.04037711787350053
2022-02-10 03:24:30.207000+00:00,AT_O_20220209_000280,AT_O_20220209_000281,AT_O_20220209_000282,5.0,1644463579.650138,1644463484.5146828,1644463535.7873309,SDSSg,9.127033888466208,73.91249935957974,96.07823359596632,-3.8072505013,2.10650458045,-1.16797007455,0.350000181674,0.219999834371,2.46622478945e-07,114970.39491624104,-0.041,-0.024,-0.0032,0.024,0.931,-0.7744134809713917,-0.10852825505349788,0.0003001753864447089,-0.030529040343378448,0.02954423259036624
2022-02-10 03:33:34.781000+00:00,AT_O_20220209_000287,AT_O_20220209_000288,AT_O_20220209_000289,5.0,1644464121.9242094,1644464029.0763457,1644464080.0181377,SDSSg,10.31307515061538,75.87206462391495,95.677627316102,-3.60428278862,2.27697828858,-1.16950968481,0.349999373764,0.219999652046,-3.50650258045e-07,116685.65068885956,-0.058,-0.029,-0.0032,0.025,0.93,-0.26838110530166037,-0.1528917491431491,0.0003002470798069527,-0.047270772144585985,0.024620193825305198
2022-02-10 03:38:09.745000+00:00,AT_O_20220209_000290,AT_O_20220209_000291,AT_O_20220209_000292,5.0,1644464417.8612106,1644464304.0533345,1644464356.351523,SDSSg,10.88535558101928,76.86136774501435,95.50324855648124,-3.59627399489,2.27697458781,-1.17409694949,0.350000158782,0.219999000079,2.36858483541e-06,117321.49927133416,-0.067,-0.032,-0.00325,0.027,0.93,0.21076266480722827,-0.5036338615608651,0.0009508138945233265,-0.05613404192169586,0.021665770566268575
2022-02-10 03:50:32.950000+00:00,AT_O_20220209_000301,AT_O_20220209_000302,AT_O_20220209_000303,5.0,1644465157.71532,1644465047.2332952,1644465098.5012891,SDSSg,12.298542770342252,79.52823660494167,95.1689695608805,-3.73788750997,1.96171362356,-1.1680532391,0.350000079702,0.220000167045,-2.25027300888e-08,119130.83717471852,-0.095,-0.037,-0.00325,0.029,0.928,1.2228274161394126,-0.5923608497395758,0.000950957281247814,-0.08370865900603769,0.016741731801207537
2022-02-16 00:23:22.974000+00:00,AT_O_20220215_000075,AT_O_20220215_000076,AT_O_20220215_000077,5.0,1644971128.4047503,1644971007.2762127,1644971077.7666,empty_1,0.7030678115822541,61.2009841060083,100.61999008265413,-3.73576875627,2.20234204889,-1.13422718455,0.350000022384,0.220000305341,0.0,101476.17687883652,0.036,-0.037,-0.00305,-0.004,0.937,-9.091432478637312,3.899100281500317,-0.006989634451283484,0.04530115663856157,0.016741731801207537
2022-02-16 00:28:03.521000+00:00,AT_O_20220215_000078,AT_O_20220215_000079,AT_O_20220215_000080,5.0,1644971410.5615184,1644971287.822313,1644971358.029879,SDSSg,1.02550212517942,60.17826255997269,33.55915323534074,-3.57407411067,2.2203649733,-1.15065003607,0.350000110776,0.220000923712,-6.60465711335e-07,100771.74964756558,0.035,-0.036,-0.00305,-0.004,0.937,-9.091432478637312,3.899100281500317,-0.006989634451283484,0.04431634888554937,0.017726539554219746
2022-02-16 00:53:41.651000+00:00,AT_O_20220215_000085,AT_O_20220215_000086,AT_O_20220215_000087,5.0,1644972947.952943,1644972825.9543295,1644972896.384695,empty_1,0.8032844711275866,61.35213435250974,100.45703744908616,-3.69582883448,2.08569866307,-1.136357322,0.350000241749,0.2199995898665,8.6203660611e-07,101595.26971819194,0.027,-0.023,-0.00305,-0.004,0.936,-8.825612193414498,4.022813114566533,-0.007323167710009091,0.0364378868614517,0.030529040343378448
2022-02-16 01:13:09.658000+00:00,AT_O_20220215_000101,AT_O_20220215_000102,AT_O_20220215_000103,5.0,1644974118.229507,1644973993.9654434,1644974065.39123,SDSSg,-0.6984948899478465,56.36352095520903,-138.32764182795736,-3.77367429544,2.10634620727,-1.13934393728,0.349999666106,0.219999666795,2.10389958526e-07,94978.12488016476,0.038,-0.003,-0.003,-0.002,0.938,-8.875548175084441,3.4538242521427693,-0.005972248198922886,0.047270772144585985,0.05022519540362261
2022-02-16 02:19:29.021000+00:00,AT_O_20220215_000133,AT_O_20220215_000134,AT_O_20220215_000135,5.0,1644978098.2258778,1644977973.3283858,1644978044.62458,SDSSg,-0.2702368992695611,47.52794886904016,-89.88469716912553,-3.82696566702,2.07937274144,-1.1250999852,0.350000082294,0.22,-8.86799085583e-08,81510.07790166292,0.058,0.022,-0.00295,0.0,0.938,-8.393843586242166,3.1322610558374424,-0.005288395205287859,0.06696692720483015,0.0748453892289278
2022-02-16 04:12:07.179000+00:00,AT_O_20220215_000278,AT_O_20220215_000279,AT_O_20220215_000280,5.0,1644984855.7290237,1644984731.4729972,1644984802.0984786,SDSSg,-0.5742741688496915,41.56917983513759,210.79969094589703,-3.84574302778,2.11183081561,-1.12771325526,0.349999058486,0.219999411408,-8.72937028646e-07,71318.28423934722,0.095,0.055,-0.00275,0.005,0.944,-8.782583211014027,1.6079602534297044,-0.0015525985346576529,0.10340481406628184,0.10734404507833067
2022-02-16 05:59:58.393000+00:00,AT_O_20220215_000392,AT_O_20220215_000393,AT_O_20220215_000394,5.0,1644991323.4046853,1644991202.693124,1644991273.3892283,SDSSg,1.3600766283400934,66.98938043739378,76.8739757162224,-3.92392523669,2.12088387755,-1.16355667544,0.349999789685,0.220000285396,1.11005464701e-06,108388.59026635392,0.019,0.003,-0.00305,-0.005,0.935,-8.800003997685911,4.314602274760652,-0.007990305920822548,0.02855942483735403,0.05613404192169586
2022-02-17 00:54:09.730000+00:00,AT_O_20220216_000079,AT_O_20220216_000080,AT_O_20220216_000081,5.0,1645059375.0661914,1645059254.0356472,1645059324.5469506,empty_1,-1.1086349486136378,58.30137800160238,-91.26472663954232,-3.8532209158,2.2418551368,-1.1101831367,0.349999223897,0.220000194209,-6.02380130035e-07,97739.57141183036,0.062,0.0,-0.00305,-0.006,0.937,-9.571856657551669,4.235252935772565,-0.007656844355459184,0.07090615821687897,0.05317961866265923
2022-02-17 00:58:17.723000+00:00,AT_O_20220216_000084,AT_O_20220216_000085,AT_O_20220216_000086,5.0,1645059623.0066242,1645059502.0203395,1645059572.6072888,SDSSg,-0.6756072852103638,56.6196451788606,-93.27973708797758,-3.72553956475,2.1769666334,-1.14278465792,0.349999662373,0.219999567529,2.97279377843e-07,95268.89096487856,0.062,0.002,-0.00305,-0.005,0.937,-9.33164456810715,4.067176608639142,-0.007323239403371333,0.07090615821687897,0.05514923416868365
2022-02-17 02:53:21.360000+00:00,AT_O_20220216_000259,AT_O_20220216_000260,AT_O_20220216_000261,5.0,1645066529.4496005,1645066405.6671612,1645066475.9258869,SDSSg,-0.970662615013342,30.474715058849167,251.4144467010337,-3.79202532058,2.13783441507,-1.09798951467,0.349999787517,0.2199996599599999,5.056112979335e-07,50093.288490144965,0.104,0.053,-0.0028,0.006,0.941,-7.746190675346973,1.7964329675352029,-0.002236236448205952,0.11226808384339171,0.10537442957230625
2022-02-17 03:03:44.413000+00:00,AT_O_20220216_000268,AT_O_20220216_000269,AT_O_20220216_000270,5.0,1645067153.7675593,1645067028.7118924,1645067099.218608,SDSSg,-2.380677633474681,29.512256242547384,176.90624125085506,-3.80475451642,2.14537605528,-1.105191357845,0.350000290184,0.2200000132855,7.84815345511e-07,47760.833923511775,0.105,0.055,-0.0027,0.007,0.944,-8.300878622153675,1.2863970570582446,-0.000868745541022625,0.1132528915964039,0.10734404507833067
2022-02-17 03:09:20.315000+00:00,AT_O_20220216_000273,AT_O_20220216_000274,AT_O_20220216_000275,5.0,1645067485.563506,1645067364.6171978,1645067435.7189002,SDSSg,3.813669405809135,74.88377631054293,22.223767043226623,-3.85639555403,2.19869264251,-1.18603243521,0.35,0.22000137875,8.2223042111e-07,115934.94984767002,-0.031,-0.035,-0.0032,-0.01,0.932,-9.207444818847598,5.48235403539501,-0.010708859725816604,-0.020680962813256366,0.018711347307231948
2022-02-17 04:14:43.362000+00:00,AT_O_20220216_000368,AT_O_20220216_000369,AT_O_20220216_000370,5.0,1645071413.3160262,1645071287.6715302,1645071360.919242,SDSSg,1.298356249140901,70.57986568117663,-46.03344222232074,-3.94011993956,2.24631102829,-1.182821050565,0.3499999315,0.22000002979,-5.43924442692e-07,112116.9344922865,0.0,-0.015,-0.00315,-0.008,0.931,-8.459919944808556,5.284503672254285,-0.010358539990907181,0.00984807753012208,0.038407502367476115
2022-02-17 04:59:41.122000+00:00,AT_O_20220216_000428,AT_O_20220216_000429,AT_O_20220216_000430,5.0,1645074108.1825542,1645073985.4242542,1645074056.0877166,SDSSg,0.2598669917462475,62.531293608864125,-64.54134408402433,-3.81115021084,2.19995812017,-1.16315748953,0.350000249816,0.22,7.38797207046e-07,103026.59713186344,0.044,0.012,-0.003,-0.005,0.935,-8.798723587899476,4.329191732769916,-0.00797366283136322,0.05317961866265923,0.06499731169880574
2022-02-17 05:12:04.151000+00:00,AT_O_20220216_000442,AT_O_20220216_000443,AT_O_20220216_000444,5.0,1645074850.7032008,1645074728.4463384,1645074798.386207,SDSSg,-3.466047776484213,27.954309530048963,-181.31606833436385,-3.84331011525,2.15542620849,-1.09925997587,0.350000486534,0.220000217579,9.09362498644e-07,44485.654255719885,0.112,0.063,-0.0026,0.009,0.943,-7.55207333806061,1.1031361518045608,-0.0005017827166538769,0.12014654586748938,0.11522250710242833
2022-02-17 07:09:50.904000+00:00,AT_O_20220216_000610,AT_O_20220216_000611,AT_O_20220216_000612,5.0,1645081921.6604583,1645081795.201086,1645081868.4456177,SDSSg,2.3677641852321867,76.6937568118634,31.421142411486237,-3.65408191473,2.10874433566,-1.19105622131,0.350000579106,0.219999102884,1.58837070033e-07,117445.7794495465,0.115,0.066,-0.0028,-0.026,0.94,-15.167157244294057,7.2985882680947105,-0.013245128173742775,0.123100969126526,0.11817693036146495
2022-02-17 07:45:24.640000+00:00,AT_O_20220216_000662,AT_O_20220216_000663,AT_O_20220216_000664,5.0,1645084053.2657032,1645083928.9305365,1645084002.0941222,SDSSg,2.407644983518379,77.55298017315631,-18.66166251530147,-3.77493347418,2.17863818916,-1.21392926389,0.350000085262,0.220000495267,2.79757497882e-07,117791.31528337036,0.115,0.066,-0.0028,-0.026,0.94,-15.167157244294057,7.2985882680947105,-0.013245128173742775,0.123100969126526,0.11817693036146495
2022-02-17 08:48:12.506000+00:00,AT_O_20220216_000729,AT_O_20220216_000730,AT_O_20220216_000731,5.0,1645087819.72053,1645087696.810613,1645087767.907547,SDSSg,3.722030088341546,71.22023445963785,25.65986638444781,-3.9463048842,2.12847422332,-1.18699096226,0.350000142407,0.220001423936,2.16523576791e-07,112717.10791514222,0.115,0.066,-0.0028,-0.026,0.94,-15.167157244294057,7.2985882680947105,-0.013245128173742775,0.123100969126526,0.11817693036146495
2022-02-18 00:19:11.955000+00:00,AT_O_20220217_000085,AT_O_20220217_000086,AT_O_20220217_000087,5.0,1645143680.1107452,1645143556.24702,1645143626.928153,empty_1,-0.6816750562870317,60.35290340647617,180.9468105637112,-4.0678203205,2.10910274882,-1.12127316899,0.350000282073,0.22000108548,-2.22843906091e-07,100405.6122601576,0.023,-0.024,-0.00305,-0.004,0.934,-8.293971622881815,4.270238780690196,-0.007990234227460305,0.03249865584940287,0.02954423259036624
